Date,Item_Description,HS_Code,Country_of_Origin,Quantity,Net_Mass_kg,Gross_Mass_kg,CIF_Value_USD,CIF_Value_UGX,Unit_Price_Actual_UGX,Unit_Price_Predicted_UGX,Tax_Rate,Currency_Code,Valuation_Label
2024-01-12,Food Products,0403,South Africa,3009,8341,8568,383719.67,1419762784.51,471838.75,471422.29,0.05,USD,
2023-01-29,Pharmaceuticals,2941,South Korea,3007,4708,5165,325035.06,1202629711.68,399943.37,335210.7,0.15,USD,
2024-11-08,Electronics,8542,South Africa,460,5832,6258,489935.55,1812761546.06,3940785.97,4114026.22,0.15,USD,
2024-09-28,Textiles,5408,China,4630,9109,9330,6664.25,24657729.07,5325.64,4719.98,0.1,USD,
2022-08-16,Electronics,8517,Japan,1034,8830,9040,146624.67,542511295.87,524672.43,544871.12,0.1,USD,
2022-08-23,Machinery,8481,China,4073,970,1091,179457.46,663992601.27,163022.98,177439.25,0.2,USD,
2022-05-17,Food Products,1701,Japan,2228,8185,8678,323515.06,1197005705.26,537255.7,452265.06,0.1,USD,
2025-03-26,Textiles,5407,Kenya,2076,3883,4288,22630.8,83733961.93,40334.28,38382.68,0.1,USD,
2024-01-24,Machinery,8481,Germany,4661,9044,9541,378183.15,1399277654.72,300209.75,300652.59,0.2,USD,
2023-02-20,Electronics,8517,Germany,4922,2678,3118,9035.98,33433126.63,6792.59,6229.02,0.15,USD,
2023-01-08,Textiles,5407,South Korea,3081,7750,7912,453111.36,1676512048.04,544145.42,534755.36,0.1,USD,
2023-04-19,Machinery,8430,USA,3388,854,1329,185009.27,684534308.81,202046.73,220410.77,0.2,USD,
2022-05-27,Electronics,8523,Japan,390,1545,1692,385476.26,1426262147.17,3657082.43,3356368.22,0.15,USD,
2023-02-28,Electronics,8542,Germany,634,3043,3240,101827.43,376761493.01,594261.03,690384.88,0.1,USD,
2023-03-17,Food Products,0403,USA,4585,8060,8459,82490.15,305213553.86,66567.84,62931.0,0.05,USD,
2025-02-27,Food Products,0702,Germany,4540,906,945,253076.32,936382392.19,206251.63,223891.3,0.05,USD,
2024-02-13,Electronics,8523,India,709,791,969,281827.04,1042760064.42,1470747.62,1629164.64,0.1,USD,
2022-06-21,Pharmaceuticals,2937,China,528,133,581,224164.91,829410164.65,1570852.58,1814017.63,0.15,USD,
2023-06-24,Machinery,8479,India,4890,1727,2163,402134.68,1487898310.9,304273.68,265764.71,0.2,USD,
2023-11-11,Machinery,8479,India,4815,3973,3987,166418.04,615746766.25,127880.95,136974.49,0.15,USD,
2024-07-19,Textiles,5407,Germany,1384,6227,6709,13294.71,49190431.94,35542.22,33891.81,0.1,USD,
2023-08-02,Food Products,1701,South Africa,451,5547,5654,260260.89,962965288.33,2135178.02,2459993.02,0.1,USD,
2022-08-01,Textiles,5408,South Korea,3478,8794,9148,101397.82,375171951.01,107870.03,114057.71,0.1,USD,
2023-05-16,Pharmaceuticals,3004,Japan,3108,5698,6014,419376.35,1551692505.4,499257.56,424774.91,0.05,USD,
2023-10-22,Machinery,8430,South Africa,3073,3504,3858,329743.69,1220051663.46,397022.99,356526.68,0.15,USD,
2023-08-30,Textiles,5407,South Korea,3764,1130,1263,10199.04,37736445.19,10025.62,11459.68,0.05,USD,
2023-08-21,Electronics,8542,Japan,2124,3984,4472,202184.5,748082648.45,352204.64,347199.73,0.1,USD,
2022-11-15,Textiles,5407,South Africa,822,2461,2905,199946.33,739801415.87,900001.72,835751.19,0.05,USD,
2023-07-30,Food Products,0403,China,2396,9650,9688,202246.67,748312667.88,312317.47,346487.98,0.1,USD,
2024-01-29,Pharmaceuticals,2937,Kenya,731,4705,4867,61303.49,226822899.24,310291.24,294058.18,0.05,USD,
2024-05-04,Electronics,8542,South Africa,1195,5610,5814,210971.45,780594369.07,653217.05,538066.69,0.1,USD,1.0
2024-02-12,Pharmaceuticals,2937,China,3889,5107,5333,288633.54,1067944081.83,274606.35,280640.27,0.15,USD,
2023-01-30,Pharmaceuticals,3004,South Africa,2115,9582,9638,440819.32,1631031491.76,771173.28,871836.56,0.05,USD,
2023-05-15,Food Products,1701,Japan,4095,1263,1704,284303.47,1051922830.45,256879.81,207493.89,0.1,USD,1.0
2024-02-10,Electronics,8517,USA,3770,7624,7748,121202.48,448449194.3,118952.04,134689.04,0.1,USD,
2023-03-06,Pharmaceuticals,2937,India,728,6729,6836,96751.67,357981174.39,491732.38,472311.33,0.05,USD,
2024-02-05,Pharmaceuticals,2937,China,2629,8324,8640,35992.13,133170880.9,50654.58,43599.58,0.05,USD,
2023-09-18,Machinery,8430,South Africa,459,6319,6528,157384.64,582323172.7,1268677.94,1175600.94,0.15,USD,
2024-07-01,Pharmaceuticals,2937,Japan,721,7479,7702,189428.73,700886300.89,972103.05,1105388.48,0.05,USD,
2022-07-29,Pharmaceuticals,2937,South Korea,1256,8668,8965,259601.13,960524196.49,764748.56,910875.63,0.15,USD,
2024-05-28,Pharmaceuticals,2937,Germany,1354,8755,8849,59819.5,221332157.78,163465.4,134491.75,0.15,USD,1.0
2023-06-06,Pharmaceuticals,3004,South Korea,88,5595,5952,380169.45,1406626964.51,15984397.32,18972917.66,0.15,USD,
2022-07-06,Textiles,5408,China,421,8689,9063,469083.69,1735609637.55,4122588.21,4029021.06,0.1,USD,
2023-03-17,Pharmaceuticals,3004,South Korea,1430,4139,4166,198257.63,733553220.66,512974.28,445397.39,0.05,USD,
2023-09-11,Electronics,8523,USA,2869,3282,3509,335430.83,1241094071.4,432587.69,491536.63,0.15,USD,
2022-09-23,Food Products,0403,Kenya,891,5952,6117,490754.69,1815792336.79,2037926.3,2284319.37,0.05,USD,
2022-11-02,Food Products,0702,China,4942,2633,3038,336809.42,1246194872.22,252164.08,217708.58,0.05,USD,
2024-05-20,Food Products,0403,Japan,697,2686,2937,55806.74,206484952.45,296248.14,304867.61,0.1,USD,
2023-03-15,Pharmaceuticals,2941,Germany,4034,2646,2713,124004.86,458817965.95,113737.72,106364.95,0.15,USD,
2024-11-01,Textiles,5408,South Korea,1199,5676,5862,420114.48,1554423569.28,1296433.34,1144005.96,0.05,USD,
2023-07-25,Textiles,5407,Kenya,592,5560,5674,301125.69,1114165035.86,1882035.53,1805558.32,0.05,USD,
2024-07-28,Machinery,8481,Germany,4370,6239,6587,335533.4,1241473582.79,284090.06,271942.74,0.2,USD,
2022-05-01,Pharmaceuticals,2937,China,1933,1122,1289,475052.77,1757695243.84,909309.49,957528.94,0.15,USD,
2023-10-14,Electronics,8542,Kenya,4621,9626,10119,234435.61,867411757.2,187710.83,172536.68,0.15,USD,
2022-09-06,Pharmaceuticals,3004,USA,1162,7094,7568,169799.65,628258721.51,540670.16,501827.17,0.15,USD,
2024-07-25,Food Products,0702,South Africa,559,3718,3800,270611.29,1001261764.66,1791165.95,1801622.46,0.05,USD,
2024-02-05,Textiles,6110,South Korea,4249,8560,8948,108195.47,400323256.93,94215.88,108588.87,0.05,USD,
2022-04-25,Food Products,1701,Germany,2526,2036,2511,66323.13,245395590.63,97147.9,104282.11,0.05,USD,
2022-04-20,Machinery,8481,South Korea,4599,8151,8617,103094.96,381451350.34,82942.24,70813.68,0.2,USD,
2024-02-01,Electronics,8523,India,621,5717,5838,488503.39,1807462527.02,2910567.68,2449722.12,0.15,USD,
2022-09-07,Food Products,0702,India,3939,1964,2404,487291.25,1802977636.52,457724.71,470012.24,0.1,USD,
2023-02-28,Machinery,8481,South Africa,169,4348,4794,90343.92,334272502.26,1977943.8,2257929.67,0.2,USD,
2024-08-14,Pharmaceuticals,3004,Germany,4618,8867,9048,179335.56,663541571.06,143685.92,149581.3,0.15,USD,
2024-05-02,Pharmaceuticals,2937,South Korea,4485,9069,9496,69988.19,258956308.5,57738.31,46323.31,0.05,USD,1.0
2022-09-08,Pharmaceuticals,2941,Kenya,37,8387,8505,417275.33,1543918702.52,41727532.5,39609564.94,0.15,USD,
2023-12-11,Machinery,8479,USA,1431,6165,6340,455387.36,1684933222.7,1177451.59,1067494.53,0.2,USD,
2024-10-11,Textiles,6110,India,3102,6970,7008,317981.34,1176530952.39,379281.42,444063.13,0.1,USD,
2022-07-18,Machinery,8430,Japan,2216,3590,3842,282663.5,1045854954.18,471956.21,443873.55,0.2,USD,
2024-10-26,Machinery,8479,South Korea,326,4419,4725,339074.37,1254575157.82,3848390.05,4416713.93,0.2,USD,
2025-04-12,Electronics,8517,Kenya,383,1437,1757,155259.55,574460342.7,1499896.46,1777446.48,0.15,USD,
2024-11-25,Textiles,6110,Kenya,137,3488,3884,103520.8,383026950.24,2795817.16,2986621.27,0.05,USD,
2023-04-29,Electronics,8523,Germany,759,3156,3529,421848.89,1560840903.31,2056443.88,1786134.06,0.15,USD,
2022-11-29,Food Products,0702,USA,1843,8791,8991,84392.9,312253733.88,169426.88,197028.12,0.1,USD,
2024-04-09,Machinery,8481,Kenya,827,2266,2406,258479.89,956375593.83,1156439.65,942695.92,0.15,USD,1.0
2022-04-22,Pharmaceuticals,2937,Japan,2722,287,576,249462.91,923012755.93,339093.59,342415.7,0.15,USD,
2024-01-16,Machinery,8481,India,3899,3550,3948,74829.16,276867885.91,71009.97,70710.59,0.15,USD,
2025-03-22,Machinery,8481,USA,1524,5369,5495,8103.46,29982805.09,19673.76,22351.97,0.2,USD,
2024-08-21,Food Products,1701,Kenya,799,4679,4963,274795.67,1016743992.31,1272520.64,1428810.99,0.05,USD,
2025-01-09,Textiles,5407,Japan,1273,5195,5658,3130.05,11581195.79,9097.56,10432.34,0.05,USD,
2024-10-03,Textiles,5407,USA,2026,4405,4454,452057.15,1672611467.51,825573.28,964760.1,0.05,USD,
2023-02-08,Food Products,1701,Germany,2321,2776,3060,82861.56,306587761.79,132092.96,121044.24,0.05,USD,
2023-02-20,Pharmaceuticals,3004,South Africa,3113,3409,3585,347745.43,1286658089.51,413317.73,362897.33,0.05,USD,
2023-10-04,Textiles,5407,Germany,1613,263,474,333353.95,1233409606.96,764668.08,838555.94,0.05,USD,
2023-02-15,Electronics,8523,Kenya,215,6914,7005,464882.04,1720063534.25,8000295.51,8695398.69,0.1,USD,
2022-08-27,Machinery,8481,South Korea,1302,6934,7059,261900.58,969032149.58,744264.32,722180.21,0.2,USD,
2024-01-07,Pharmaceuticals,2941,Kenya,3521,2020,2053,64638.61,239162864.83,67924.7,67689.5,0.05,USD,
2022-09-25,Machinery,8430,Germany,46,7515,7921,154671.5,572284565.52,12440968.82,12348288.89,0.2,USD,
2024-01-03,Food Products,1701,Kenya,1451,4532,4635,405023.21,1498585876.68,1032795.23,1216433.55,0.1,USD,
2022-06-29,Food Products,0403,Japan,4539,1851,2235,304448.51,1126459505.12,248173.5,286820.68,0.05,USD,
2025-03-07,Textiles,5408,South Korea,1826,333,388,174181.63,644472019.51,352941.96,414540.22,0.1,USD,
2023-10-16,Machinery,8481,South Korea,1596,1085,1257,147424.68,545471323.32,341774.01,298283.9,0.15,USD,
2024-06-26,Textiles,5407,South Korea,2814,4485,4961,84370.29,312170070.63,110934.64,108414.7,0.1,USD,
2024-02-26,Food Products,1701,China,688,9503,9710,67106.47,248293952.51,360892.37,305445.35,0.1,USD,
2022-05-19,Electronics,8523,Japan,1321,6544,6650,450479.53,1666774278.8,1261751.91,1488345.71,0.1,USD,
2023-07-28,Machinery,8479,Japan,734,1606,1746,199824.21,739349565.86,1007288.24,1197539.17,0.15,USD,
2024-01-13,Electronics,8542,South Africa,3646,1973,2067,121569.28,449806345.85,123369.82,121335.99,0.15,USD,
2025-01-02,Food Products,0702,Japan,344,8672,9025,368828.76,1364666400.01,3967053.49,4228942.52,0.1,USD,
2023-03-04,Food Products,0702,China,4864,1871,2191,422116.29,1561830276.92,321099.97,263916.93,0.1,USD,1.0
2022-12-13,Electronics,8517,India,4506,3911,4153,174463.15,645513667.47,143256.47,155389.19,0.1,USD,
2025-03-17,Machinery,8481,South Africa,695,6504,6772,171801.95,635667231.01,914629.11,922266.16,0.2,USD,
2024-02-13,Electronics,8517,South Africa,2159,5959,6044,53865.18,199301151.05,92311.79,89438.66,0.1,USD,
2023-05-17,Food Products,1701,China,4462,1324,1630,481760.01,1782512024.96,399487.23,394847.68,0.05,USD,
2024-06-15,Food Products,1701,China,2381,7055,7081,91991.57,340368808.32,142952.04,114919.03,0.1,USD,1.0
2023-02-10,Machinery,8479,Kenya,4023,3556,3650,232109.64,858805678.58,213473.94,211760.69,0.2,USD,
2025-04-11,Textiles,5407,Japan,734,7846,8306,28927.35,107031206.36,145819.08,166887.34,0.1,USD,
2023-01-30,Machinery,8481,South Africa,1711,2075,2283,187626.27,694217196.38,405737.7,432038.2,0.15,USD,
2024-08-02,Pharmaceuticals,2937,India,3038,4837,5252,9539.85,35297444.05,11618.65,9603.53,0.05,USD,1.0
2023-01-19,Food Products,1701,South Africa,4775,6306,6516,431692.13,1597260876.13,334504.9,325489.96,0.05,USD,
2022-11-03,Pharmaceuticals,2937,India,710,2259,2526,286669.93,1060678753.46,1493913.74,1309395.78,0.05,USD,
2022-12-03,Textiles,5407,South Korea,1942,9811,9948,406567.72,1504300553.96,774614.09,731240.77,0.1,USD,
2023-04-10,Textiles,5408,Japan,860,9189,9540,142010.29,525438081.52,610974.51,694655.1,0.05,USD,
2025-04-10,Food Products,0403,India,430,6529,6789,444630.68,1645133517.77,3825891.9,3432643.45,0.05,USD,
2024-02-13,Electronics,8517,Japan,1873,5197,5551,196766.0,728034202.34,388699.52,442763.64,0.15,USD,
2023-11-29,Pharmaceuticals,2941,India,3062,8061,8146,330280.1,1222036364.82,399097.44,476167.35,0.05,USD,
2022-07-18,Pharmaceuticals,2937,China,3938,9093,9476,3334.88,12339048.34,3133.33,3316.59,0.15,USD,
2025-01-24,Electronics,8517,China,2622,5002,5374,61956.99,229240847.36,87429.77,97610.68,0.15,USD,
2023-06-05,Pharmaceuticals,3004,South Africa,2299,1277,1429,174580.41,645947519.43,280968.91,235782.12,0.05,USD,
2025-03-18,Food Products,0403,USA,112,515,673,12829.78,47470201.01,423841.08,343716.22,0.1,USD,1.0
2024-10-02,Food Products,1701,Kenya,1554,8119,8462,327276.44,1210922836.64,779229.62,899485.41,0.05,USD,
2025-04-09,Pharmaceuticals,3004,South Africa,642,6926,7362,420811.75,1557003463.97,2425239.04,2621245.05,0.05,USD,
2024-12-04,Pharmaceuticals,3004,USA,3718,1938,2216,9277.11,34325290.75,9232.19,11026.37,0.05,USD,
2023-01-21,Electronics,8542,India,1551,2045,2074,421760.54,1560513984.53,1006134.1,945864.71,0.15,USD,
2022-08-06,Pharmaceuticals,3004,Kenya,3234,6244,6295,2185.57,8086622.77,2500.5,2773.15,0.15,USD,
2023-11-15,Food Products,0403,Germany,1735,6211,6654,51869.18,191915955.9,110614.38,89829.98,0.1,USD,1.0
2023-07-08,Machinery,8481,China,1285,4962,5191,463800.24,1716060899.04,1335455.95,1078231.2,0.15,USD,1.0
2023-01-21,Textiles,6110,Kenya,3567,4030,4199,260238.15,962881159.56,269941.45,309562.51,0.1,USD,
2022-10-22,Pharmaceuticals,2941,Kenya,2981,6763,7262,498341.62,1843863984.85,618538.74,552732.36,0.05,USD,
2024-05-31,Machinery,8481,China,2217,9868,10129,191926.81,710129193.96,320310.87,383462.64,0.2,USD,
2023-05-29,Electronics,8542,Japan,4083,7777,8182,400597.0,1482208898.98,363019.57,348991.17,0.1,USD,
2024-11-08,Electronics,8523,Kenya,3755,3051,3399,367429.63,1359489638.35,362047.84,428664.81,0.1,USD,
2023-07-04,Electronics,8523,South Africa,1044,856,1297,451011.1,1668741078.24,1598410.99,1510750.42,0.1,USD,
2023-09-30,Food Products,1701,Japan,2948,4667,4850,472400.81,1747882993.04,592904.68,709859.67,0.05,USD,
2022-05-13,Pharmaceuticals,2937,Kenya,1429,8494,8817,250595.72,927204165.77,648848.26,761087.94,0.15,USD,
2023-07-23,Pharmaceuticals,3004,USA,1025,6430,6694,112931.84,417847817.12,407656.41,485430.96,0.05,USD,
2023-03-08,Machinery,8479,Japan,4638,1654,2102,178619.62,660892598.29,142495.17,152370.02,0.2,USD,
2024-07-18,Pharmaceuticals,2941,Germany,2406,3040,3272,135844.61,502625051.56,208904.84,178926.9,0.15,USD,
2022-06-08,Machinery,8479,Germany,1500,3471,3484,414069.26,1532056259.97,1021370.84,918168.1,0.2,USD,
2023-10-17,Textiles,5407,South Africa,4505,503,621,264549.4,978832789.83,217276.98,200313.26,0.1,USD,
2024-05-03,Machinery,8430,Germany,3929,5661,5982,375694.02,1390067875.41,353796.86,296529.47,0.15,USD,
2024-12-13,Textiles,6110,Kenya,1679,3579,3938,200188.95,740699120.46,441154.93,370819.21,0.1,USD,
2024-08-29,Textiles,5408,China,4633,9240,9271,457593.07,1693094372.29,365442.34,388425.32,0.1,USD,
2023-07-08,Textiles,5408,South Africa,3925,3917,4145,79458.01,293994633.15,74903.09,73265.09,0.1,USD,
2024-02-29,Electronics,8542,South Korea,1529,6764,7110,349143.32,1291830293.0,844885.74,853312.61,0.15,USD,
2022-10-08,Pharmaceuticals,2937,Kenya,1240,4839,5072,420465.83,1555723561.57,1254615.78,1456982.67,0.15,USD,
2024-05-26,Food Products,0702,Japan,665,5122,5381,392666.33,1452865417.9,2184760.03,2035866.95,0.1,USD,
2022-10-25,Pharmaceuticals,2941,South Korea,4141,7388,7570,104968.8,388384559.56,93790.04,106196.36,0.15,USD,
2023-06-02,Machinery,8430,China,3695,1695,2147,161034.61,595828073.36,161252.52,136101.63,0.2,USD,
2023-07-06,Textiles,6110,South Africa,3717,9027,9075,35670.48,131980778.56,35507.34,32070.64,0.05,USD,
2023-08-23,Pharmaceuticals,2941,Japan,335,6359,6711,130672.43,483487994.37,1443247.74,1390204.53,0.15,USD,
2022-05-04,Machinery,8479,South Korea,604,2106,2168,105177.58,389157034.1,644299.73,739807.59,0.15,USD,
2024-01-06,Machinery,8479,Kenya,3114,5908,6144,291702.92,1079300799.71,346596.27,278703.85,0.2,USD,1.0
2023-08-16,Pharmaceuticals,2941,South Africa,3200,2182,2500,223309.85,826246453.23,258202.02,261002.66,0.05,USD,
2025-03-23,Pharmaceuticals,3004,Germany,2676,7955,7978,439915.81,1627688498.33,608254.3,683860.68,0.05,USD,
2023-06-09,Food Products,0403,Germany,4952,690,805,188834.36,698687149.76,141091.91,154636.11,0.05,USD,
2024-07-01,Food Products,0702,China,4193,1188,1649,273962.5,1013661251.41,241750.84,197523.02,0.1,USD,1.0
2023-01-31,Electronics,8523,Japan,100,5221,5280,449680.35,1663817307.16,16638173.07,15415933.72,0.1,USD,
2023-05-20,Food Products,1701,Germany,4161,3982,4203,432261.18,1599366364.63,384370.67,333800.18,0.1,USD,
2024-08-25,Electronics,8523,Japan,4962,3457,3785,243332.44,900330023.5,181444.99,194323.14,0.1,USD,
2025-04-18,Electronics,8517,Japan,1908,7571,8068,281267.7,1040690491.81,545435.27,630616.76,0.15,USD,
2023-11-27,Food Products,0403,South Korea,4933,1117,1350,404808.29,1497790686.93,303626.74,256880.0,0.05,USD,
2023-08-16,Textiles,5407,China,1572,1093,1507,260267.27,962988903.66,612588.36,691261.24,0.05,USD,
2025-03-03,Pharmaceuticals,2941,China,4826,1374,1755,345258.66,1277457037.02,264703.07,289881.03,0.15,USD,
2024-08-06,Food Products,1701,South Korea,2377,127,471,408338.74,1510853332.32,635613.52,615382.61,0.1,USD,
2024-11-05,Machinery,8430,South Korea,4420,5362,5799,189072.8,699569370.29,158273.61,136364.39,0.15,USD,
2023-03-07,Textiles,6110,South Africa,3029,4648,5096,235247.13,870414383.98,287360.31,281602.29,0.05,USD,
2024-08-25,Textiles,5408,Germany,660,4370,4631,368485.94,1363397991.49,2065754.53,2399579.96,0.1,USD,
2023-04-10,Food Products,0403,India,4180,9247,9361,181543.08,671709397.5,160696.03,182361.66,0.05,USD,
2025-02-02,Pharmaceuticals,3004,China,2310,839,1086,252373.93,933783533.51,404235.3,381622.34,0.05,USD,
2024-07-12,Electronics,8523,USA,4491,8478,8616,44926.79,166229129.49,37013.83,32080.63,0.1,USD,
2024-12-14,Machinery,8481,South Korea,2049,3265,3634,137723.14,509575615.54,248694.79,231437.32,0.2,USD,
2024-07-15,Pharmaceuticals,2937,China,3061,1526,1671,391898.92,1450026019.01,473709.9,512602.47,0.15,USD,
2024-11-05,Textiles,5408,Kenya,945,8814,9118,179389.0,663739306.71,702369.64,800004.05,0.1,USD,
2025-03-26,Electronics,8523,China,2327,2125,2173,141343.1,522969486.38,224739.79,215614.27,0.15,USD,
2024-09-03,Pharmaceuticals,2941,Japan,4589,1615,1743,20753.2,76786835.12,16732.8,15336.67,0.15,USD,
2022-09-23,Textiles,5407,South Africa,2850,2280,2496,480030.18,1776111682.04,623197.08,588946.55,0.1,USD,
2025-04-17,Machinery,8479,Germany,1236,1833,2004,409122.01,1513751422.83,1224717.98,1236126.29,0.15,USD,
2023-04-07,Pharmaceuticals,2941,South Korea,2791,3956,4209,19262.97,71272990.85,25536.72,20681.55,0.15,USD,1.0
2025-03-30,Textiles,5407,USA,3292,219,261,262062.15,969629968.95,294541.3,298141.35,0.1,USD,
2023-06-19,Textiles,5408,Japan,1081,857,1016,496140.36,1835719348.54,1698167.76,2017511.06,0.1,USD,
2024-10-07,Textiles,5407,Japan,4250,4097,4158,49359.43,182629875.01,42971.74,39474.6,0.05,USD,
2023-06-06,Electronics,8523,China,3298,71,554,318798.43,1179554176.78,357657.42,316895.79,0.1,USD,
2024-04-23,Machinery,8479,Kenya,991,6695,7117,358107.96,1324999463.47,1337032.76,1275608.71,0.15,USD,
2024-06-20,Machinery,8430,India,4542,765,821,104471.38,386544108.57,85104.38,90147.91,0.15,USD,
2023-09-20,Machinery,8481,China,1681,549,783,207706.15,768512772.35,457175.95,524967.58,0.2,USD,
2023-06-05,Textiles,5407,South Africa,3482,7647,7839,249121.67,921750164.43,264718.6,253476.23,0.1,USD,
2025-02-02,Electronics,8542,Germany,2378,7768,7913,332217.2,1229203651.71,516906.5,480490.6,0.15,USD,
2023-06-25,Pharmaceuticals,3004,Kenya,4765,8173,8591,332080.83,1228699087.54,257859.2,227904.63,0.15,USD,
2024-08-25,Pharmaceuticals,2937,South Africa,414,1185,1634,271206.22,1003463004.41,2423823.68,2354613.27,0.15,USD,
2023-12-14,Food Products,0702,South Africa,2804,5791,5826,10304.91,38128169.92,13597.78,12412.85,0.1,USD,
2024-05-09,Electronics,8542,India,3285,6856,7253,229572.27,849417405.1,258574.55,260718.65,0.1,USD,
2023-11-12,Textiles,6110,China,4695,5548,5625,132178.48,489060378.92,104166.21,94264.74,0.1,USD,
2023-04-23,Machinery,8481,Kenya,3991,408,854,357061.46,1321127407.97,331026.66,304950.28,0.2,USD,
2022-05-31,Food Products,0702,China,1487,9075,9418,167917.93,621296343.79,417818.66,440771.82,0.1,USD,
2024-08-07,Pharmaceuticals,2941,Germany,1978,967,1024,180046.1,666170575.85,336789.98,275627.82,0.05,USD,1.0
2023-03-08,Machinery,8430,South Korea,1849,4053,4359,307178.01,1136558636.39,614688.28,614990.49,0.15,USD,
2023-05-24,Textiles,5407,USA,3943,935,1024,349656.54,1293729216.27,328107.84,271905.44,0.05,USD,1.0
2024-11-10,Food Products,0702,Japan,4597,1323,1776,393857.28,1457271918.87,317004.99,366374.21,0.05,USD,
2024-08-27,Electronics,8517,USA,2011,8158,8373,368232.68,1362460901.16,677504.18,585631.57,0.15,USD,
2024-06-10,Electronics,8542,Germany,3254,6202,6254,233958.85,865647737.63,266025.73,318796.36,0.1,USD,
2022-10-02,Machinery,8479,Kenya,3446,2295,2594,329264.74,1218279532.77,353534.4,420604.83,0.15,USD,
2024-04-08,Pharmaceuticals,2937,Kenya,270,4740,4998,131494.57,486529898.34,1801962.59,1571757.85,0.15,USD,
2022-05-28,Textiles,5407,Japan,684,3289,3591,444034.78,1642928669.01,2401942.5,2772056.25,0.05,USD,
2024-05-13,Machinery,8479,South Korea,1247,9273,9407,171436.67,634315674.36,508673.36,598247.01,0.2,USD,
2024-10-28,Machinery,8481,USA,4554,9159,9353,251107.26,929096854.76,204017.75,220366.97,0.2,USD,
2024-08-04,Machinery,8430,Germany,1391,9446,9936,380734.41,1408717327.6,1012737.12,982390.03,0.2,USD,
2024-02-21,Textiles,5408,South Africa,307,4115,4140,431156.55,1595279227.85,5196349.28,6009235.91,0.1,USD,
2024-08-30,Electronics,8517,Germany,3271,6317,6395,135399.54,500978312.03,153157.54,126446.09,0.1,USD,1.0
2022-07-01,Machinery,8430,China,1233,9974,10200,73604.07,272335074.06,220871.92,193791.89,0.2,USD,
2022-06-08,Electronics,8517,South Korea,255,1531,1806,53440.98,197731631.08,775418.16,859656.67,0.1,USD,
2023-11-22,Pharmaceuticals,2941,China,4940,4323,4595,27126.07,100366469.92,20317.1,19266.75,0.05,USD,
2022-12-03,Pharmaceuticals,2941,Japan,3584,7550,7571,178606.26,660843156.67,184387.04,196489.59,0.15,USD,
2023-08-03,Machinery,8481,Kenya,2946,113,271,369731.09,1368005022.78,464360.16,424505.55,0.15,USD,
2023-04-08,Food Products,1701,China,3996,3476,3487,460825.83,1705055557.03,426690.58,342538.74,0.1,USD,1.0
2025-02-10,Textiles,5407,China,2420,6984,7156,322050.04,1191585149.53,492390.56,568930.47,0.05,USD,
2024-11-17,Electronics,8517,Germany,4342,8483,8688,294551.27,1089839688.79,250999.47,288919.44,0.15,USD,
2023-12-08,Textiles,6110,Kenya,2014,8889,9131,437033.78,1617024997.51,802892.25,762281.92,0.1,USD,
2022-09-24,Electronics,8523,Kenya,945,1174,1462,471483.58,1744489233.8,1846020.35,2013013.72,0.1,USD,
2024-12-11,Electronics,8523,South Korea,4471,1085,1530,348862.19,1290790109.2,288702.78,267186.3,0.1,USD,
2024-07-01,Food Products,1701,Germany,4063,6605,6963,174609.64,646055685.42,159009.52,128568.62,0.1,USD,1.0
2024-12-13,Electronics,8523,China,3908,9564,9865,42091.06,155736937.04,39850.8,35472.68,0.15,USD,
2024-01-21,Pharmaceuticals,2937,Japan,2331,5570,5805,491929.79,1820140222.01,780840.94,636057.16,0.15,USD,1.0
2022-11-18,Machinery,8430,Japan,780,6543,6596,86026.45,318297883.04,408074.21,409727.93,0.15,USD,
2022-11-03,Food Products,0702,India,3356,6952,7214,65799.31,243457430.26,72543.93,70129.57,0.1,USD,
2024-03-02,Machinery,8430,India,3179,3716,3758,228788.93,846519047.58,266284.7,215977.36,0.2,USD,1.0
2022-10-04,Machinery,8481,South Africa,612,6655,6895,155406.43,575003799.76,939548.69,1025444.26,0.2,USD,
2023-07-09,Pharmaceuticals,2941,South Africa,4369,4492,4780,76064.25,281437738.8,64416.97,60889.33,0.05,USD,
2024-03-18,Pharmaceuticals,2937,China,2060,8862,9248,302378.3,1118799704.04,543106.65,544995.8,0.05,USD,
2023-02-16,Food Products,1701,China,3627,8351,8473,121277.7,448727487.08,123718.63,110725.99,0.1,USD,
2024-10-12,Textiles,5407,USA,4492,1192,1585,212865.84,787603606.48,175334.73,198272.91,0.05,USD,
2022-11-19,Food Products,0403,Kenya,451,4338,4664,253327.56,937311964.23,2078297.04,1818092.2,0.1,USD,
2022-05-23,Textiles,5407,USA,1921,2874,3197,10668.55,39473635.68,20548.48,17813.49,0.1,USD,
2024-01-23,Pharmaceuticals,3004,South Korea,2564,5461,5796,244339.31,904055450.46,352595.73,320658.94,0.15,USD,
2024-08-30,Machinery,8479,Germany,484,717,862,493256.68,1825049727.71,3770763.9,4125197.71,0.15,USD,
2023-07-22,Pharmaceuticals,3004,USA,4174,769,1176,417095.46,1543253206.88,369730.04,369279.85,0.05,USD,
2023-12-19,Food Products,0702,Japan,2632,7246,7575,249584.26,923461750.72,350859.33,350435.93,0.05,USD,
2023-05-02,Food Products,0403,China,3666,3126,3340,179109.39,662704730.2,180770.52,177204.43,0.1,USD,
